Insect,Hour_n,Minutes_n,Sensor_alpha_n,Sensor_beta_n,Sensor_gamma_n,Sensor_alpha_plus_n,Sensor_beta_plus_n,Sensor_gamma_plus_n,is_day
0,0.8636363636363636,0.5423728813559322,0.5478461541834994,0.5472380320507954,0.4585275127019227,0.43742897663915814,0.4792890671560796,0.6404975746083403,1
0,0.9090909090909092,0.864406779661017,0.6617755002816869,0.5213964080716256,0.46711248224646973,0.45642132595088086,0.3949108302888629,0.687029099486477,1
0,0.7727272727272727,0.9661016949152542,0.6227270539688706,0.38694795137410487,0.3566388933538162,0.5844755115356128,0.6511902052242121,0.3272649557371094,1
1,0.9090909090909092,0.4576271186440678,0.4048209363505598,0.6221747399393011,0.613116418066909,0.3947387633744875,0.6354478193927479,0.4655541276302243,1
0,0.7727272727272727,0.6779661016949152,0.6146978885868595,0.3337489042549138,0.253456169692807,0.5250193828200682,0.0889441249420038,0.4080443777336636,1
0,0.9545454545454546,0.288135593220339,0.6448974665384994,0.6352030989564216,0.5859786756640895,0.5780914209438107,0.320157484639019,0.45968223910044237,1
2,1.0,0.3389830508474576,0.38330883446797437,0.5758756362871417,0.4784132858778758,0.3561629233467077,0.5413589123305041,0.44727721783803026,1
0,0.8181818181818182,0.7457627118644068,0.4245901622643011,0.6746789489253227,0.5603551218252972,0.35216666024961185,0.3534332002694035,0.7971283173568281,1
2,1.0,0.8135593220338984,0.6421137530531618,0.6394896951527305,0.35312615893921007,0.5049969476050058,0.598807063545429,0.6374609420809062,1
0,0.8181818181818182,0.9830508474576272,0.49498900813339736,0.681965370709603,0.6034297205270251,0.5647107161596132,0.7409684819252615,0.2760100636711152,1
2,1.0,0.6440677966101694,0.17328948747158818,0.6663347232194349,0.26151789762917316,0.733072226691538,0.49807259942144255,0.5275934383735856,1
0,0.9090909090909092,0.7457627118644068,0.6811724571189315,0.5823914525717264,0.5158122999796375,0.4302929139468378,0.49475384832263086,0.4407514294440715,1
2,0.9545454545454546,0.423728813559322,0.8449886376425244,0.6784097195985502,0.35064771489043006,0.6394618343709271,0.5061008872928094,0.5180822300237931,1
1,0.9090909090909092,0.864406779661017,0.5021198765294943,0.5980874825699355,0.517059303074728,0.36853649672892475,0.39948315881041635,0.44467929418456603,1
0,0.9545454545454546,0.864406779661017,0.7860834893710164,0.5664396774770439,0.48916473410627165,0.4794197009455295,0.6300846637186779,0.5829324860729084,1
0,0.8181818181818182,0.7627118644067796,0.6099048635428276,0.6704575185061324,0.5844711400745535,0.4297069857646797,0.37742093860103965,0.6069339103480998,1
1,0.9090909090909092,0.6271186440677966,0.7128011840200636,0.5035009365288948,0.59337512982801,0.48879313728843454,0.5212302033979225,0.39255910002780736,1
1,0.9090909090909092,0.2542372881355932,0.5316521081407785,0.5542102063969826,0.6364871003502467,0.45969484127750754,0.5202743812171071,0.562388941738787,1
0,0.8636363636363636,0.288135593220339,0.5120980328713354,0.7356798710035489,0.5785913165566301,0.36693011426929734,0.4063985270127103,0.5708178871545998,1
1,0.9090909090909092,0.9322033898305084,0.5154080786889091,0.556318183820983,0.3733103638058997,0.28782556665710535,0.5737339537378483,0.5548810724166104,1
2,0.9090909090909092,0.0,0.7668696699312304,0.6942677106934241,0.5371199031107381,0.36118355064253876,0.5013803037438401,0.5272470520991281,1
0,0.8181818181818182,0.9661016949152542,0.6081285827417275,0.4456364488535774,0.7589271343752187,0.6043468314882781,0.6589157242398428,0.586278260601128,1
0,0.9545454545454546,0.6440677966101694,0.5569857280078784,0.5597679626345935,0.48335099269541487,0.37267912947984916,0.09396924885743778,0.6933686457005429,1
0,0.9545454545454546,0.6610169491525424,0.4377468218436167,0.5414897896630354,0.46694927698946737,0.322260661797688,0.5933235337693701,0.3596298522400931,1
0,0.8181818181818182,0.9322033898305084,0.6168624989278212,0.3906104270770827,0.7017973277408603,0.6383069898130541,0.49467209558723807,0.38879219502031936,1
0,0.9090909090909092,0.7288135593220338,0.3881889052165012,0.4343074100231629,0.6477990386353715,0.5520128653912502,0.8000463946639301,0.5400443545489195,1
1,0.9090909090909092,0.2711864406779661,0.6437839769051611,0.5954159476262906,0.6083999893249582,0.41493020219866916,0.6350007973993081,0.3296253516482817,1
1,0.9090909090909092,0.8135593220338984,0.467018311496901,0.6445214675000034,0.6368049717860802,0.4026324194309685,0.4102501153101913,0.25964955505822,1
0,0.9090909090909092,0.0847457627118644,0.7665066878878279,0.6428586506906989,0.5347641394248609,0.46293641254355034,0.6087043876123681,0.40960500043965575,1
1,0.9090909090909092,0.7288135593220338,0.8527886621582252,0.4919801609827187,0.4892956483932868,0.3477455209251503,0.528757752482093,0.6313241648081616,1
1,0.9090909090909092,0.1694915254237288,0.5613461129647365,0.5002874328776746,0.5997975834106852,0.4830067881203743,0.4836304103089441,0.6796047273357984,1
0,0.7727272727272727,0.6949152542372882,0.340996016619917,0.6605599674523734,0.3920349733603658,0.2536730784576499,0.6644751705134401,0.32735694357121137,1
0,0.8636363636363636,1.0,0.49720782334238195,0.5016226649700662,0.48278388244341874,0.49598018468706295,0.16373580082270672,0.3812386171993646,1
0,0.9545454545454546,0.1694915254237288,0.5706910143732553,0.36175327280027425,0.7069763180672219,0.4614662818754272,0.510971281347041,0.3272428550300035,1
0,0.8636363636363636,0.6271186440677966,0.6644646331311901,0.4931405629759813,0.5970376637161585,0.6391817045836808,0.6156171876019666,0.5308052530696751,1
0,0.9545454545454546,0.4745762711864407,0.3642852999647289,0.5641069691408734,0.4607209351638448,0.5477256491521171,0.44369499625266046,0.3763626786568619,1
0,0.9090909090909092,0.3050847457627119,0.4651536473303853,0.42986740875289514,0.4219917436228774,0.6324352336935015,0.3229878013605696,0.5724099023159865,1
1,0.9545454545454546,0.288135593220339,0.4773978122122749,0.4701600169442836,0.5013042162458364,0.47082667675130346,0.6684112072473409,0.5647095922358618,1
2,0.7727272727272727,0.9830508474576272,0.32291504036345126,0.7980257250809243,0.5095022514168657,0.4299496294827407,0.6520849963857063,0.32373780194637086,1
0,0.8636363636363636,0.7457627118644068,0.41501733981594474,0.6011360954476801,0.5265349409463883,0.5374988689217212,0.657844866233937,0.4950035668708115,1
0,0.8181818181818182,0.423728813559322,0.6538834934169845,0.38176212568278795,0.6889352391257971,0.6041546803807196,0.40207218675736744,0.4998178695557429,1
1,0.9090909090909092,1.0,0.41431520588288295,0.4236788646661825,0.5680208090669576,0.5287210968965702,0.6668820581515261,0.4080972424913478,1
